Season,Champion,Finalist,Series Result
2023-24,Boston Celtics,Dallas Mavericks,4-1
2022-23,Denver Nuggets,Miami Heat,4-1
2021-22,Golden State Warriors,Boston Celtics,4-2
2020-21,Milwaukee Bucks,Phoenix Suns,4-2
2019-20,Los Angeles Lakers,Miami Heat,4-2
2018-19,Toronto Raptors,Golden State Warriors,4-2
2017-18,Golden State Warriors,Cleveland Cavaliers,4-0
2016-17,Golden State Warriors,Cleveland Cavaliers,4-1
2015-16,Cleveland Cavaliers,Golden State Warriors,4-3
2014-15,Golden State Warriors,Cleveland Cavaliers,4-2
